"raceId","positionOrder","driver_name","constructor_name","year","round","circuitId","status","std_avg_lap"
18,1,"Lewis Hamilton","McLaren",2008,1,1,"Finished",-0.109680068968164
18,2,"Nick Heidfeld","BMW Sauber",2008,1,1,"Finished",-0.0996893598530961
18,3,"Nico Rosberg","Williams",2008,1,1,"Finished",-0.0947924898322937
18,4,"Fernando Alonso","Renault",2008,1,1,"Finished",-0.0783455721981828
18,5,"Heikki Kovalainen","McLaren",2008,1,1,"Finished",-0.0768263570297209
18,6,"Kazuki Nakajima","Williams",2008,1,1,"+1 Lap",0.0985074747020091
18,7,"Sébastien Bourdais","Toro Rosso",2008,1,1,"Engine",-0.0303122098109116
18,8,"Kimi Räikkönen","Ferrari",2008,1,1,"Engine",0.0405956343133769
18,9,"Robert Kubica","BMW Sauber",2008,1,1,"Collision",0.0147883206065594
18,10,"Timo Glock","Toyota",2008,1,1,"Accident",-0.238541783572439
18,11,"Takuma Sato","Super Aguri",2008,1,1,"Transmission",-0.014485645278878
18,12,"Nelson Piquet Jr.","Renault",2008,1,1,"Clutch",0.0521132460341878
18,13,"Felipe Massa","Ferrari",2008,1,1,"Engine",-0.157725932591243
18,14,"David Coulthard","Red Bull",2008,1,1,"Collision",-0.390122009509583
18,15,"Jarno Trulli","Toyota",2008,1,1,"Electrical",-0.425673560388645
18,16,"Adrian Sutil","Force India",2008,1,1,"Hydraulics",0.672222864160457
18,22,"Rubens Barrichello","Honda",2008,1,1,"Disqualified",-0.0140169318355422
19,1,"Kimi Räikkönen","Ferrari",2008,2,2,"Finished",-0.663902747975865
19,2,"Robert Kubica","BMW Sauber",2008,2,2,"Finished",-0.645241522985744
19,3,"Heikki Kovalainen","McLaren",2008,2,2,"Finished",-0.627238256362677
19,4,"Jarno Trulli","Toyota",2008,2,2,"Finished",-0.620199055398081
19,5,"Lewis Hamilton","McLaren",2008,2,2,"Finished",-0.619516304396911
19,6,"Nick Heidfeld","BMW Sauber",2008,2,2,"Finished",-0.616383850432039
19,7,"Mark Webber","Red Bull",2008,2,2,"Finished",-0.598936510950986
19,8,"Fernando Alonso","Renault",2008,2,2,"Finished",-0.597114252343111
19,9,"David Coulthard","Red Bull",2008,2,2,"Finished",-0.591222187488029
19,10,"Jenson Button","Honda",2008,2,2,"Finished",-0.58169228035715
19,11,"Nelson Piquet Jr.","Renault",2008,2,2,"Finished",-0.57598234600657
19,12,"Giancarlo Fisichella","Force India",2008,2,2,"+1 Lap",-0.538730060914652
19,13,"Rubens Barrichello","Honda",2008,2,2,"+1 Lap",-0.536379511149937
19,14,"Nico Rosberg","Williams",2008,2,2,"+1 Lap",-0.527488005678921
19,15,"Anthony Davidson","Super Aguri",2008,2,2,"+1 Lap",-0.480786727598362
19,16,"Takuma Sato","Super Aguri",2008,2,2,"+2 Laps",-0.462921118207415
19,17,"Kazuki Nakajima","Williams",2008,2,2,"+2 Laps",-0.452046404919779
19,18,"Sebastian Vettel","Toro Rosso",2008,2,2,"Engine",-0.55289778745489
19,19,"Felipe Massa","Ferrari",2008,2,2,"Spun off",-0.65601595677863
19,20,"Adrian Sutil","Force India",2008,2,2,"Hydraulics",-0.347304433792683
19,21,"Timo Glock","Toyota",2008,2,2,"Collision",3.23205468808756
20,1,"Felipe Massa","Ferrari",2008,3,3,"Finished",-0.761390919883481
20,2,"Kimi Räikkönen","Ferrari",2008,3,3,"Finished",-0.754328729422098
20,3,"Robert Kubica","BMW Sauber",2008,3,3,"Finished",-0.750819842337509
20,4,"Nick Heidfeld","BMW Sauber",2008,3,3,"Finished",-0.743605367445686
20,5,"Heikki Kovalainen","McLaren",2008,3,3,"Finished",-0.70473053645429
20,6,"Jarno Trulli","Toyota",2008,3,3,"Finished",-0.674009267675728
20,7,"Mark Webber","Red Bull",2008,3,3,"Finished",-0.66521272675662
20,8,"Nico Rosberg","Williams",2008,3,3,"Finished",-0.643182245820481
20,9,"Timo Glock","Toyota",2008,3,3,"Finished",-0.61439414328382
20,10,"Fernando Alonso","Renault",2008,3,3,"Finished",-0.598148355642629
20,11,"Rubens Barrichello","Honda",2008,3,3,"Finished",-0.596707998738113
20,12,"Giancarlo Fisichella","Force India",2008,3,3,"+1 Lap",-0.551731592911244
20,13,"Lewis Hamilton","McLaren",2008,3,3,"+1 Lap",-0.520864309348939
20,14,"Kazuki Nakajima","Williams",2008,3,3,"+1 Lap",-0.517305680549346
20,15,"Sébastien Bourdais","Toro Rosso",2008,3,3,"+1 Lap",-0.493368358333602
20,16,"Anthony Davidson","Super Aguri",2008,3,3,"+1 Lap",-0.41138426762222
20,17,"Takuma Sato","Super Aguri",2008,3,3,"+1 Lap",-0.393222989610536
20,18,"David Coulthard","Red Bull",2008,3,3,"+1 Lap",-0.372573039552662
20,19,"Adrian Sutil","Force India",2008,3,3,"+2 Laps",-0.265127148642212
20,20,"Nelson Piquet Jr.","Renault",2008,3,3,"Gearbox",-0.248158812718428
20,21,"Jenson Button","Honda",2008,3,3,"Collision",0.163328788128174
21,1,"Kimi Räikkönen","Ferrari",2008,4,4,"Finished",-0.115188980946273
21,2,"Felipe Massa","Ferrari",2008,4,4,"Finished",-0.109781644573399
21,3,"Lewis Hamilton","McLaren",2008,4,4,"Finished",-0.108175189932264
21,4,"Robert Kubica","BMW Sauber",2008,4,4,"Finished",-0.105650761210484
21,5,"Mark Webber","Red Bull",2008,4,4,"Finished",-0.0549879727156928
21,6,"Jenson Button","Honda",2008,4,4,"Finished",-0.0263900648601615
21,7,"Kazuki Nakajima","Williams",2008,4,4,"Finished",-0.0176224073088484
