"resultId","raceId","driverId","constructorId","positionOrder","laps","fastestLapSpeed","statusId","driver_name","constructor_name","year","round","circuitId","race_name","status","circuit_name","total_time","avg_lap","circuit_avg_lap","circuit_lap_sd","std_avg_lap"
34,19,21,10,12,55,"205.800",11,"Giancarlo Fisichella","Force India",2008,2,2,"Malaysian Grand Prix","+1 Lap","Sepang International Circuit",5509648,100175.418181818,110264.086853356,18726.7602153285,-0.538730060914632
35,19,22,11,13,55,"206.372",11,"Rubens Barrichello","Honda",2008,2,2,"Malaysian Grand Prix","+1 Lap","Sepang International Circuit",5512069,100219.436363636,110264.086853356,18726.7602153285,-0.536379511149907
36,19,3,3,14,55,"206.182",11,"Nico Rosberg","Williams",2008,2,2,"Malaysian Grand Prix","+1 Lap","Sepang International Circuit",5521227,100385.945454545,110264.086853356,18726.7602153285,-0.527488005678887
37,19,19,8,15,55,"203.265",11,"Anthony Davidson","Super Aguri",2008,2,2,"Malaysian Grand Prix","+1 Lap","Sepang International Circuit",5569328,101260.509090909,110264.086853356,18726.7602153285,-0.480786727598347
38,19,11,8,16,54,"202.578",12,"Takuma Sato","Super Aguri",2008,2,2,"Malaysian Grand Prix","+2 Laps","Sepang International Circuit",5486134,101595.074074074,110264.086853356,18726.7602153285,-0.462921118207401
39,19,6,3,17,54,"204.222",12,"Kazuki Nakajima","Williams",2008,2,2,"Malaysian Grand Prix","+2 Laps","Sepang International Circuit",5497131,101798.722222222,110264.086853356,18726.7602153285,-0.452046404919757
40,19,20,5,18,39,"205.995",5,"Sebastian Vettel","Toro Rosso",2008,2,2,"Malaysian Grand Prix","Engine","Sepang International Circuit",3896494,99910.1025641026,110264.086853356,18726.7602153285,-0.552897787454882
41,19,13,6,19,30,"208.048",20,"Felipe Massa","Ferrari",2008,2,2,"Malaysian Grand Prix","Spun off","Sepang International Circuit",2939371,97979.0333333333,110264.086853356,18726.7602153285,-0.656015956778617
42,19,16,10,20,5,"198.891",9,"Adrian Sutil","Force India",2008,2,2,"Malaysian Grand Prix","Hydraulics","Sepang International Circuit",518801,103760.2,110264.086853356,18726.7602153285,-0.347304433792672
43,19,10,7,21,1,NA,4,"Timo Glock","Toyota",2008,2,2,"Malaysian Grand Prix","Collision","Sepang International Circuit",170790,170790,110264.086853356,18726.7602153285,3.23205468808757
45,20,13,6,1,57,"208.153",1,"Felipe Massa","Ferrari",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5466970,95911.7543859649,102227.284796327,8294.7277744376,-0.761390919883481
46,20,8,6,2,57,"207.911",1,"Kimi Räikkönen","Ferrari",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5470309,95970.3333333333,102227.284796327,8294.7277744376,-0.754328729422097
47,20,9,2,3,57,"207.765",1,"Robert Kubica","BMW Sauber",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5471968,95999.4385964912,102227.284796327,8294.7277744376,-0.75081984233751
48,20,2,2,4,57,"208.231",1,"Nick Heidfeld","BMW Sauber",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5475379,96059.2807017544,102227.284796327,8294.7277744376,-0.74360536744569
49,20,5,1,5,57,"209.062",1,"Heikki Kovalainen","McLaren",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5493759,96381.7368421053,102227.284796327,8294.7277744376,-0.704730536454296
50,20,15,7,6,57,"206.819",1,"Jarno Trulli","Toyota",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5508284,96636.5614035088,102227.284796327,8294.7277744376,-0.674009267675732
51,20,17,9,7,57,"206.597",1,"Mark Webber","Red Bull",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5512443,96709.5263157895,102227.284796327,8294.7277744376,-0.665212726756624
52,20,3,3,8,57,"207.109",1,"Nico Rosberg","Williams",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5522859,96892.2631578947,102227.284796327,8294.7277744376,-0.64318224582048
53,20,10,7,9,57,"205.503",1,"Timo Glock","Toyota",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5536470,97131.0526315789,102227.284796327,8294.7277744376,-0.614394143283817
54,20,4,4,10,57,"204.668",1,"Fernando Alonso","Renault",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5544151,97265.8070175439,102227.284796327,8294.7277744376,-0.598148355642637
55,20,22,11,11,57,"205.399",1,"Rubens Barrichello","Honda",2008,3,3,"Bahrain Grand Prix","Finished","Bahrain International Circuit",5544832,97277.7543859649,102227.284796327,8294.7277744376,-0.596707998738113
56,20,21,10,12,56,"204.963",11,"Giancarlo Fisichella","Force India",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5468446,97650.8214285714,102227.284796327,8294.7277744376,-0.551731592911243
57,20,1,1,13,56,"203.969",11,"Lewis Hamilton","McLaren",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5482784,97906.8571428571,102227.284796327,8294.7277744376,-0.520864309348936
58,20,6,3,14,56,"204.155",11,"Kazuki Nakajima","Williams",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5484437,97936.375,102227.284796327,8294.7277744376,-0.517305680549348
